tip	date	distance	residual
KU871294_AU_2012	2012.5	0.08533135016406988	-0.0010121142142048983
KU871295_AU_2012	2012.5	0.09059815856406989	0.004254694185795105
KY620750_-_2014	2014.5	0.08948771126406989	0.0017825906840020361
KY620542_-_2014	2014.5	0.08399562556406988	-0.003709495015997974
KY620564_-_2014	2014.5	0.09189114166406988	0.004186021084002026
JQ717254_IN_2010	2010.5	0.09118697316406989	0.006205164987588177
GQ356203_GB_2006	2006.5	0.08010677226406988	-0.002151723508825462
HQ912953_CN_2008	2008.5	0.08232124766406988	-0.0012989043106185344
GQ356216_GB_2003	2003.5	0.07271780096406988	-0.0074982105061356386
KC844041_CN_2011	2011.5	0.08650370446406988	8.410681866916347E-4
KY620461_-_2013	2013.5	0.08540929416406988	-0.0016149983151014374
AY956467_US_2002	2002.5	0.08062389106406988	0.001088707694760896
KY620449_-_2013	2013.5	0.09487616676406989	0.007851874284898572
KY620429_-_2013	2013.5	0.08136537056406988	-0.005658921915101436
KU871297_AU_2011	2011.5	0.08821954706406988	0.002556910786691638
KM587622_AU_2012	2012.5	0.08031602096406988	-0.0060274434142049
KF035125_IN_2012	2012.5	0.07765370556406989	-0.00868975881420489
JQ717258_IN_2011	2011.5	0.08107127016406988	-0.004591366113308362
KF035124_IN_2012	2012.5	0.08677705313593012	4.335887576553399E-4
KF035127_IN_2012	2012.5	0.08739447743593012	0.0010510130576553423
KF035123_IN_2012	2012.5	0.08485886343593012	-0.0014846009423446632
GQ356202_GB_2006	2006.5	0.07638540306406988	-0.005873092708825467
GQ356213_GB_2006	2006.5	0.07373182566406988	-0.008526670108825463
GQ356205_GB_2006	2006.5	0.08119433806406988	-0.0010641577088254667
GQ356214_GB_2006	2006.5	0.07922595326406988	-0.003032542508825467
GQ356210_GB_2006	2006.5	0.09246669236406987	0.010208196591174529
KJ437342_AU_2010	2010.5	0.09223519036406988	0.00725338218758817
KY620634_-_2014	2014.5	0.08503376756406988	-0.002671353015997968
GQ356204_GB_2005	2005.5	0.08637688196406988	0.004799214292071294
KU871299_AU_2007	2007.5	0.09398647016406989	0.011047146290278004
GQ356208_GB_2006	2006.5	0.08310553176406989	8.470359911745412E-4
GQ356201_GB_2006	2006.5	0.07948949446406989	-0.0027690013088254584
KU871298_AU_2012	2012.5	0.08608392486406988	-2.5953951420490395E-4
GQ356207_GB_2006	2006.5	0.0905905297640699	0.008332033991174548
GQ356209_GB_2006	2006.5	0.07745374666406989	-0.00480474910882546
