tip	date	distance	residual
MOZ329-A_rodent_MOZ_2011-07-18	2011.5424657534247	0.2434027920755859	0.03184560674160952
TA531-B_rodent_TZA_2013-07-03	2013.5013698630137	0.24369733557558593	0.030234336916035276
TA498-B_rodent_TZA_2013-07-03	2013.5013698630137	0.26158265647558593	0.04811965781603528
TA532-B_rodent_TZA_2013-07-03	2013.5013698630137	0.2495278908755859	0.03606489221603526
CRT490-B_rodent_COD_2010-05-23	2010.3890410958904	0.2226293034755859	0.012194282351493058
CRT125-D_rodent_COD_2010-05-06	2010.3424657534247	0.2149645244755859	0.004574816395597536
CRT64-D_rodent_COD_2010-05-04	2010.33698630137	0.22409170937558592	0.0137073322419628
TA275_rodent_TZA_2013-06-24	2013.4767123287672	0.17906318907558594	-0.03437582032532116
TA293-D_rodent_TZA_2013-06-24	2013.4767123287672	0.19046442987558593	-0.02297457952532117
TA293-B_rodent_TZA_2013-06-24	2013.4767123287672	0.21604576992441407	0.0026067605235069735
CRT352-B_rodent_COD_2010-05-21	2010.3835616438357	0.2450170171244141	0.03458732694668648
CRT125-B_rodent_COD_2010-05-06	2010.3424657534247	0.19966008032441407	-0.01072962775557429
CRT64-C_rodent_COD_2010-05-04	2010.33698630137	0.2021325821244141	-0.008251795009209029
TA531-D_rodent_TZA_2013-07-03	2013.5013698630137	0.21004347402441406	-0.0034195246351365893
TA529-B_rodent_TZA_2013-07-03	2013.5013698630137	0.2067647303244141	-0.006698268335136565
TA532-C_rodent_TZA_2013-07-03	2013.5013698630137	0.20536812692441409	-0.008094871735136566
CRT125-C_rodent_COD_2010-05-06	2010.3424657534247	0.20428887867558593	-0.00610082940440243
CRT64-A_rodent_COD_2010-05-04	2010.33698630137	0.20648628797558594	-0.003898089158037188
TA293-C_rodent_TZA_2013-06-24	2013.4767123287672	0.19264541367558596	-0.020793595725321135
TA100-B_rodent_TZA_2013-06-18	2013.4602739726026	0.20560568227558595	-0.00781733428622522
MOZ329-B_rodent_MOZ_2011-07-18	2011.5424657534247	0.20985255727558594	-0.001704628058390445
TA498-A_rodent_TZA_2013-07-03	2013.5013698630137	0.22235226217558596	0.008889263516035306
TA529-D_rodent_TZA_2013-07-03	2013.5013698630137	0.21601135747558592	0.0025483588160352677
TA529-A_rodent_TZA_2013-07-03	2013.5013698630137	0.20621442057558592	-0.00724857808396473
TA532-A_rodent_TZA_2013-07-03	2013.5013698630137	0.20598557187558597	-0.00747742678396468
TA531-A_rodent_TZA_2013-07-03	2013.5013698630137	0.18925039387558595	-0.024212604783964697
TA100-A_rodent_TZA_2013-06-18	2013.4602739726026	0.20354339107558594	-0.00987962548622523
CRT352-A_rodent_COD_2010-05-21	2010.3835616438357	0.20827444247558596	-0.0021552477021416494
CRT490-A_rodent_COD_2010-05-23	2010.3890410958904	0.20452802197558595	-0.005906999148506897
CRT74_rodent_COD_2010-05-04	2010.33698630137	0.19328643217558594	-0.01709794495803718
CRT125-A_rodent_COD_2010-05-06	2010.3424657534247	0.19276376087558594	-0.017625947204402415
TA293-A_rodent_TZA_2013-06-24	2013.4767123287672	0.17018910677558596	-0.043249902625321135
CRT64-B_rodent_COD_2010-05-04	2010.33698630137	0.20001544487558592	-0.0103689322580372
TA293-E_rodent_TZA_2013-06-24	2013.4767123287672	0.22594351657558592	0.012504507174678825
TA529-C_rodent_TZA_2013-07-03	2013.5013698630137	0.23473513607558594	0.021272137416035286
TA531-E_rodent_TZA_2013-07-03	2013.5013698630137	0.2343958925755859	0.020932893916035256
